,index,Item,latitude,longitude,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,suma
0,0,Alcoholic Beverages,40.46,-3.75,2319.0,2357.0,2297.0,2687.0,2858.0,3008.0,3034.0,2914.0,3034.0,3080.0,3140.0,3306.0,3480.0,3895.0,4014.0,4014.0,4014.0,4066.0,4494.0,4415.0,4348.0,3938.0,4113.0,4144.0,4299.0,4399.0,4524.0,4523.0,4555.0,4733.0,4577.0,4314.0,4287.0,4320.0,4279.0,4178.0,4190.0,3950.0,4254.0,4366.0,4468.0,4562.0,4970.0,5104.0,4944.0,5298.0,4965.0,4786.0,4685.0,4644.0,4636.0,4609,4626,860056.0
1,1,Animal fats,40.46,-3.75,45.0,45.0,48.0,54.0,50.0,61.0,68.0,75.0,54.0,77.0,83.0,82.0,92.0,82.0,91.0,96.0,69.0,94.0,88.0,91.0,92.0,89.0,96.0,100.0,95.0,131.0,160.0,176.0,179.0,189.0,209.0,192.0,169.0,170.0,155.0,155.0,169.0,164.0,198.0,195.0,192.0,211.0,213.0,216.0,215.0,207.0,237.0,226.0,251.0,240.0,228.0,218,190,29488.0
2,2,Apples and products,40.46,-3.75,180.0,180.0,169.0,165.0,142.0,202.0,186.0,238.0,245.0,268.0,336.0,437.0,485.0,530.0,624.0,629.0,567.0,800.0,738.0,764.0,685.0,718.0,816.0,713.0,760.0,618.0,736.0,743.0,641.0,570.0,606.0,1026.0,850.0,694.0,731.0,751.0,777.0,651.0,779.0,835.0,686.0,692.0,772.0,680.0,685.0,499.0,555.0,561.0,568.0,526.0,505.0,472,486,121088.0
3,3,"Aquatic Animals, Others",40.46,-3.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,3.0,2.0,3.0,4.0,4.0,8.0,2.0,6.0,0.0,0.0,0.0,0.0,7.0,8.0,26.0,26.0,29.0,17.0,24.0,8.0,29.0,40.0,3,3,1024.0
4,4,Aquatic Plants,40.46,-3.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0
5,5,"Aquatic Products, Other",40.46,-3.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,3.0,2.0,3.0,4.0,4.0,8.0,2.0,6.0,0.0,0.0,0.0,0.0,7.0,8.0,26.0,26.0,29.0,17.0,24.0,8.0,29.0,40.0,3,3,1024.0
6,6,Bananas,40.46,-3.75,178.0,152.0,192.0,204.0,221.0,246.0,272.0,301.0,341.0,328.0,335.0,312.0,388.0,341.0,310.0,290.0,342.0,347.0,356.0,414.0,423.0,396.0,395.0,381.0,349.0,407.0,388.0,341.0,344.0,356.0,324.0,320.0,363.0,377.0,377.0,341.0,382.0,340.0,326.0,345.0,349.0,337.0,326.0,354.0,321.0,341.0,389.0,376.0,391.0,343.0,324.0,304,310,70440.0
7,7,Barley and products,40.46,-3.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,4.0,3.0,2.0,2.0,2.0,8.0,8.0,1.0,1.0,4.0,3.0,3.0,1.0,2.0,2.0,8.0,1.0,1.0,2.0,3.0,7.0,4.0,4.0,1.0,2,17,408.0
8,8,Beans,40.46,-3.75,123.0,105.0,131.0,108.0,102.0,122.0,113.0,100.0,106.0,112.0,101.0,103.0,109.0,90.0,107.0,88.0,58.0,109.0,95.0,69.0,73.0,76.0,68.0,66.0,67.0,82.0,80.0,86.0,77.0,73.0,88.0,87.0,77.0,80.0,81.0,78.0,62.0,65.0,68.0,52.0,53.0,54.0,60.0,61.0,49.0,58.0,54.0,55.0,53.0,50.0,57.0,51,48,16960.0
9,9,Beer,40.46,-3.75,410.0,460.0,344.0,675.0,735.0,829.0,987.0,1024.0,1076.0,1220.0,1219.0,1235.0,1239.0,1528.0,1554.0,1668.0,1732.0,1731.0,2086.0,2065.0,1937.0,1927.0,2101.0,2168.0,2275.0,2395.0,2540.0,2676.0,2830.0,2890.0,2762.0,2558.0,2572.0,2664.0,2710.0,2600.0,2597.0,2352.0,2700.0,2814.0,2944.0,3050.0,3335.0,3419.0,3310.0,3563.0,3626.0,3548.0,3553.0,3507.0,3500.0,3499,3504,472972.0
