,index,Area,Item,Element,Unit,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,total_años
0,17950,Spain,Vegetables,Food,1000 tonnes,4972.0,4862.0,5092.0,5053.0,4780.0,4798.0,4845.0,4910.0,4856.0,5034.0,5201.0,5332.0,5823.0,6361.0,6450.0,5990.0,6426.0,6428.0,6448.0,6569.0,6212.0,6500.0,6113.0,6472.0,6475.0,6428.0,6465.0,7203.0,7606.0,8256.0,7318.0,6961.0,6374.0,6362.0,5883.0,6209.0,6276.0,6335.0,6771.0,6629.0,6341.0,6761.0,6515.0,6922.0,6758.0,6474.0,6908.0,6577.0,7246.0,6489.0,5839.0,5898,5591,327397.0
1,17924,Spain,Milk - Excluding Butter,Food,1000 tonnes,2560.0,2591.0,2983.0,2970.0,2944.0,3309.0,3567.0,3714.0,4057.0,4099.0,4414.0,4435.0,4518.0,5012.0,4963.0,5219.0,5260.0,5603.0,5837.0,5982.0,5965.0,6317.0,6597.0,6786.0,6562.0,6186.0,6043.0,5898.0,5869.0,5897.0,6279.0,6144.0,6476.0,6522.0,6384.0,6566.0,6229.0,6598.0,6602.0,6767.0,6773.0,6839.0,6827.0,7000.0,6921.0,7119.0,7365.0,7310.0,7760.0,7957.0,7981.0,7955,7710,306241.0
2,17964,Spain,Milk - Excluding Butter,Food,1000 tonnes,2560.0,2591.0,2983.0,2970.0,2944.0,3309.0,3567.0,3714.0,4057.0,4099.0,4414.0,4435.0,4518.0,5012.0,4963.0,5219.0,5260.0,5603.0,5837.0,5982.0,5965.0,6317.0,6597.0,6786.0,6562.0,6186.0,6043.0,5898.0,5869.0,5897.0,6279.0,6144.0,6476.0,6522.0,6384.0,6566.0,6229.0,6598.0,6602.0,6767.0,6773.0,6839.0,6827.0,7000.0,6921.0,7119.0,7365.0,7310.0,7760.0,7957.0,7981.0,7955,7710,306241.0
3,17938,Spain,Cereals - Excluding Beer,Food,1000 tonnes,4416.0,4795.0,4205.0,4125.0,4037.0,4270.0,4060.0,4134.0,3644.0,3741.0,3711.0,3718.0,3830.0,3914.0,4021.0,3914.0,3955.0,3783.0,3837.0,4028.0,3781.0,3943.0,3936.0,4040.0,4075.0,3905.0,3976.0,4054.0,3985.0,4019.0,4038.0,3937.0,4028.0,3987.0,3981.0,4061.0,4043.0,4022.0,4001.0,3988.0,4002.0,4041.0,4058.0,4132.0,4159.0,4159.0,4279.0,4527.0,4697.0,4759.0,4865.0,4948,4971,217535.0
4,17955,Spain,Alcoholic Beverages,Food,1000 tonnes,2319.0,2357.0,2297.0,2687.0,2858.0,3008.0,3034.0,2914.0,3034.0,3080.0,3140.0,3306.0,3480.0,3895.0,4014.0,4014.0,4014.0,4066.0,4494.0,4415.0,4348.0,3938.0,4113.0,4144.0,4299.0,4399.0,4524.0,4523.0,4555.0,4733.0,4577.0,4314.0,4287.0,4320.0,4279.0,4178.0,4190.0,3950.0,4254.0,4366.0,4468.0,4562.0,4970.0,5104.0,4944.0,5298.0,4965.0,4786.0,4685.0,4644.0,4636.0,4609,4626,215014.0
5,17882,Spain,"Vegetables, Other",Food,1000 tonnes,3459.0,3316.0,3504.0,3498.0,3297.0,3332.0,3278.0,3323.0,3237.0,3092.0,3250.0,3275.0,3689.0,3859.0,3946.0,3958.0,3950.0,4137.0,4229.0,4309.0,4173.0,4294.0,4060.0,4108.0,4140.0,4163.0,4231.0,4777.0,5080.0,5300.0,4777.0,4672.0,4127.0,3937.0,3699.0,3741.0,3854.0,3811.0,4139.0,3902.0,3546.0,4061.0,4027.0,4113.0,3752.0,3895.0,3994.0,3590.0,3192.0,3006.0,2886.0,2910,2776,202671.0
6,17819,Spain,Wheat and products,Food,1000 tonnes,4101.0,4443.0,3849.0,3751.0,3679.0,3927.0,3771.0,3841.0,3349.0,3444.0,3411.0,3401.0,3511.0,3597.0,3696.0,3579.0,3624.0,3463.0,3516.0,3689.0,3407.0,3674.0,3677.0,3780.0,3798.0,3620.0,3653.0,3725.0,3667.0,3627.0,3625.0,3573.0,3651.0,3584.0,3585.0,3588.0,3587.0,3580.0,3576.0,3575.0,3589.0,3616.0,3643.0,3700.0,3741.0,3749.0,3846.0,4055.0,4195.0,4256.0,4324.0,4411,4405,197724.0
7,17940,Spain,Starchy Roots,Food,1000 tonnes,3946.0,3265.0,4100.0,3355.0,3377.0,3537.0,3389.0,3507.0,3643.0,3766.0,3684.0,3965.0,4110.0,4240.0,3988.0,4191.0,4159.0,4014.0,4287.0,4275.0,3717.0,4035.0,3892.0,4311.0,4186.0,4049.0,4179.0,3844.0,4334.0,4250.0,4332.0,4345.0,3603.0,3417.0,3406.0,3506.0,3472.0,3169.0,3172.0,3087.0,3112.0,3011.0,3036.0,3076.0,2981.0,3060.0,2936.0,2861.0,2997.0,2978.0,2950.0,2916,2819,191837.0
8,17837,Spain,Potatoes and products,Food,1000 tonnes,3849.0,3174.0,4009.0,3282.0,3322.0,3495.0,3356.0,3475.0,3613.0,3733.0,3649.0,3930.0,4078.0,4207.0,3957.0,4155.0,4122.0,3979.0,4250.0,4239.0,3678.0,3995.0,3859.0,4276.0,4151.0,4012.0,4142.0,3812.0,4305.0,4220.0,4305.0,4321.0,3575.0,3392.0,3389.0,3486.0,3453.0,3150.0,3154.0,3073.0,3090.0,2991.0,3027.0,3054.0,2960.0,3037.0,2917.0,2840.0,2975.0,2959.0,2935.0,2913,2818,190138.0
9,17952,Spain,Fruits - Excluding Wine,Food,1000 tonnes,1607.0,1456.0,1932.0,1977.0,1915.0,2068.0,1932.0,2135.0,2314.0,2231.0,2524.0,2907.0,3239.0,3170.0,2986.0,2902.0,2747.0,3294.0,3482.0,3379.0,3492.0,3599.0,3713.0,3372.0,3778.0,3661.0,4200.0,4212.0,4762.0,4509.0,4406.0,5080.0,4640.0,4267.0,3583.0,4054.0,4598.0,4070.0,4584.0,4325.0,4524.0,4949.0,4478.0,4063.0,4349.0,4739.0,3861.0,4407.0,3504.0,3679.0,3484.0,3097,3390,185626.0
